ＮＯ,受注,ベース,材質,種別１,種別２,ＪＡＮ,表示,デザイン,すみ分け,付加,付加,産地,銘柄,ＫＧ,画像,詳細
37,1224191,565,小袋大,【食味王】,―,―,表示,デザイン,スポット中心,―,脱酸素剤,岩手県,金色の風,2,https://www.dropbox.com/scl/fi/u2q7wvjl13y9s6hig62o9/1224191A.jpg?rlkey=n29ixcua5k3qqhdlzg9g6asgt&st=1l0lcb5j&dl=0,
38,1035325,594,小袋中,【食味王】,―,―,表示,デザイン,スポット中心,―,―,香川県,おいでまい,1,https://www.dropbox.com/scl/fi/xlz0zzvth7hosojrt6mvo/1035325A.jpg?rlkey=2ws0m2f82z6e3ennhgxg53hly&st=5891buun&dl=0,
39,1217643,594,小袋中,【食味王】,―,―,表示,デザイン,スポット中心,―,脱酸素剤,香川県,おいでまい,1,https://www.dropbox.com/scl/fi/radfkyoy8lpqj3pvb5l6a/1217643A.jpg?rlkey=7dq9dv8l2tginof63yefh0ak7&st=pxk7vjjg&dl=0,
40,1090525,565,小袋大,【食味王】,―,―,表示,デザイン,スポット中心,―,―,香川県,おいでまい,2,https://www.dropbox.com/scl/fi/dpvvfyvpwhbcqlns8umzy/1090525A.jpg?rlkey=whrulnpe83kdkl1aer5r257yj&st=fs7q1ary&dl=0,
41,1139928,565,小袋大,【食味王】,―,―,表示,デザイン,終了,―,―,岐阜県,ハツシモ,2,https://www.dropbox.com/scl/fi/obr8hgyq938ymz95ljb1u/1139928A.jpg?rlkey=2x35j9jt6b9652f1roygasdbn&st=exppfbq9&dl=0,
42,1206755,594,小袋中,【食味王】,―,―,表示,デザイン,スポット中心,―,脱酸素剤,岐阜県高山市,コシヒカリ,1,https://www.dropbox.com/scl/fi/eravt1ht46ikamfssclz8/1206755A.jpg?rlkey=pqj92b9x8rs2b16cbtbtee1rn&st=158c46pm&dl=0,
43,1037927,594,小袋中,【食味王】,―,―,表示,デザイン,スポット中心,―,―,岐阜県高山市,コシヒカリ,1,https://www.dropbox.com/scl/fi/umkr3fr73mbq74yspuuuu/1037927A.jpg?rlkey=oqoz1r86z8jtsy6x5u9omimx7&st=lerbfh6y&dl=0,
44,1028134,565,小袋大,【食味王】,―,ＪＡＮ,表示,デザイン,終了,―,―,岐阜県高山市,コシヒカリ,2,https://www.dropbox.com/scl/fi/ehttq154ec6azqdmj3qjq/1028134A.jpg?rlkey=xvknojsya0d0ozyacs3zjp8d1&st=ya8b2a9o&dl=0,
45,1109366,565,小袋大,【食味王】,―,―,表示,デザイン,スポット中心,―,―,岐阜県高山市,コシヒカリ,2,https://www.dropbox.com/scl/fi/2w6zhnmuz0yolfu869yiu/1109366A.jpg?rlkey=ppmukydzfmya3u69c8j363kpo&st=yiq9jamb&dl=0,"スギ
25年8月迄"
46,1192710,594,小袋中,【食味王】,ガイドライン入,―,表示,デザイン,スポット中心,特栽米,―,京都府,京式部,1,https://www.dropbox.com/scl/fi/1bjhngx98txuq6t1qvzk9/1192710A.jpg?rlkey=o505rr9fg94j7pxkpdoa812p5&st=jtez25mv&dl=0,
47,1191418,594,小袋中,【食味王】,ガイドライン入,―,表示,デザイン,スポット中心,特栽米,―,京都府,京式部,2,https://www.dropbox.com/scl/fi/gct4047uzfymx70vbppjl/1191418A.jpg?rlkey=pnetzqqv7q74z52ggq7ep5glq&st=kmagjqr2&dl=0,
48,1203206,565,小袋大,【食味王】,―,―,表示,デザイン,スポット中心,特栽米,脱酸素剤,京都府,京式部,2,https://www.dropbox.com/scl/fi/pbz722wxcb0c8b11oq3il/1203206A.jpg?rlkey=3y7ho4baoor38g1i596nrajc1&st=w233juae&dl=0,
49,1211838,565,小袋大,【食味王】,―,―,―,デザイン,スポット中心,特栽米,脱酸素剤,京都府,京式部,2,https://www.dropbox.com/scl/fi/v2ndpyellz5pg3pn67ykw/1211838A.jpg?rlkey=7gfakxjapjwqt31fk35llfhyn&st=xhxe5s0b&dl=0,
50,1191419,594,小袋中,【食味王】,―,―,―,ガイドライン,終了,特栽米,―,京都府,京式部,―,https://www.dropbox.com/scl/fi/qap5x712n63w5j7dazdca/1191419A.jpg?rlkey=b0olgh13i237a2qcyvioc6hpr&st=mc1nrzjw&dl=0,
51,1037937,594,小袋中,【食味王】,―,―,表示,デザイン,スポット中心,―,―,京都府丹後,コシヒカリ,1,https://www.dropbox.com/scl/fi/yrjzzmv8wuultcc5k7atu/1037937A.jpg?rlkey=cwjt4g8loe4t3k6fjh4j54oo7&st=3t4p1o2e&dl=0,"ごっつお便
26年3月迄"
